embedding_model,chunk_size,overlap_size,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@7,recall@8,recall@9,recall@10,recall@11,recall@12,recall@13,recall@14,recall@15
mxbai-embed-large,200,0,0.224489796,0.244897959,0.244897959,0.285714286,0.367346939,0.408163265,0.408163265,0.408163265,0.408163265,0.428571429,0.428571429,0.448979592,0.448979592,0.448979592,0.448979592
mxbai-embed-large,200,50,0.285714286,0.326530612,0.367346939,0.387755102,0.387755102,0.387755102,0.428571429,0.428571429,0.428571429,0.469387755,0.489795918,0.489795918,0.489795918,0.469387755,0.448979592
mxbai-embed-large,200,100,0.244897959,0.306122449,0.306122449,0.306122449,0.326530612,0.367346939,0.367346939,0.367346939,0.367346939,0.387755102,0.387755102,0.408163265,0.428571429,0.428571429,0.448979592
mxbai-embed-large,500,0,0.244897959,0.306122449,0.326530612,0.387755102,0.387755102,0.387755102,0.408163265,0.408163265,0.408163265,0.428571429,0.448979592,0.448979592,0.448979592,0.448979592,0.448979592
mxbai-embed-large,500,50,0.224489796,0.285714286,0.306122449,0.306122449,0.306122449,0.326530612,0.367346939,0.367346939,0.387755102,0.408163265,0.428571429,0.428571429,0.428571429,0.448979592,0.448979592
mxbai-embed-large,500,100,0.163265306,0.204081633,0.265306122,0.306122449,0.346938776,0.367346939,0.367346939,0.408163265,0.408163265,0.428571429,0.428571429,0.469387755,0.469387755,0.469387755,0.469387755
mxbai-embed-large,1000,0,0.265306122,0.346938776,0.367346939,0.367346939,0.387755102,0.387755102,0.387755102,0.428571429,0.428571429,0.448979592,0.448979592,0.469387755,0.469387755,0.469387755,0.469387755
mxbai-embed-large,1000,50,0.265306122,0.346938776,0.367346939,0.367346939,0.387755102,0.387755102,0.387755102,0.428571429,0.428571429,0.448979592,0.448979592,0.469387755,0.469387755,0.469387755,0.469387755
mxbai-embed-large,1000,100,0.265306122,0.346938776,0.367346939,0.367346939,0.387755102,0.387755102,0.387755102,0.408163265,0.408163265,0.448979592,0.428571429,0.428571429,0.448979592,0.448979592,0.448979592
snowflake-arctic-embed:335m,200,0,0.102040816,0.12244898,0.12244898,0.12244898,0.142857143,0.163265306,0.163265306,0.163265306,0.163265306,0.163265306,0.183673469,0.183673469,0.183673469,0.183673469,0.183673469
snowflake-arctic-embed:335m,200,50,0.081632653,0.081632653,0.102040816,0.102040816,0.142857143,0.142857143,0.142857143,0.163265306,0.163265306,0.163265306,0.163265306,0.163265306,0.163265306,0.163265306,0.183673469
snowflake-arctic-embed:335m,200,100,0.06122449,0.081632653,0.081632653,0.102040816,0.102040816,0.12244898,0.12244898,0.163265306,0.183673469,0.204081633,0.204081633,0.204081633,0.204081633,0.204081633,0.204081633
snowflake-arctic-embed:335m,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowflake-arctic-embed:335m,500,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowflake-arctic-embed:335m,500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowflake-arctic-embed:335m,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowflake-arctic-embed:335m,1000,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowflake-arctic-embed:335m,1000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
